Year_UTC,Month_UTC,Station_ID,Depth,pHin,OmegaCAin,CO3in,TA,DIC,pCO2in,RFin,OmegaARin,Cruise,Station,Line,Cruise mid-date,Station date,Day_UTC,Local time (PST),appendicularia Abundance (No. per m2),appendicularia Estimated C Biomass (mgC m-2),bryozoan_larvae Abundance (No. per m2),bryozoan_larvae Estimated C Biomass (mgC m-2),chaetognatha Abundance (No. per m2),chaetognatha Estimated C Biomass (mgC m-2),cnidaria_ctenophores Abundance (No. per m2),cnidaria_ctenophores Estimated C Biomass (mgC m-2),copepoda_calanoida_minus_eucalanids Abundance (No. per m2),copepoda_calanoida_minus_eucalanids Estimated C Biomass (mgC m-2),copepoda_eucalanids Abundance (No. per m2),copepoda_eucalanids Estimated C Biomass (mgC m-2),copepoda_harpacticoida Abundance (No. per m2),copepoda_harpacticoida Estimated C Biomass (mgC m-2),copepoda_oithona_like Abundance (No. per m2),copepoda_oithona_like Estimated C Biomass (mgC m-2),copepoda_others Abundance (No. per m2),copepoda_others Estimated C Biomass (mgC m-2),copepoda_poecilostomatoids Abundance (No. per m2),copepoda_poecilostomatoids Estimated C Biomass (mgC m-2),crustacea_others Abundance (No. per m2),crustacea_others Estimated C Biomass (mgC m-2),doliolids Abundance (No. per m2),doliolids Estimated C Biomass (mgC m-2),eggs Abundance (No. per m2),eggs Estimated C Biomass (mgC m-2),euphausiids Abundance (No. per m2),euphausiids Estimated C Biomass (mgC m-2),multiples Abundance (No. per m2),multiples Estimated C Biomass (mgC m-2),nauplii Abundance (No. per m2),nauplii Estimated C Biomass (mgC m-2),ostracods Abundance (No. per m2),ostracods Estimated C Biomass (mgC m-2),others Abundance (No. per m2),others Estimated C Biomass (mgC m-2),polychaete Abundance (No. per m2),polychaete Estimated C Biomass (mgC m-2),pteropoda_heteropoda Abundance (No. per m2),pteropoda_heteropoda Estimated C Biomass (mgC m-2),pyrosomes Abundance (No. per m2),pyrosomes Estimated C Biomass (mgC m-2),rhizaria Abundance (No. per m2),rhizaria Estimated C Biomass (mgC m-2),salps Abundance (No. per m2),salps Estimated C Biomass (mgC m-2)
2009,1,080.0 055.0,1,8.08300282243498,3.64317302164442,151.32680116356,2227.2,2016.1,353.700786971136,11.6102077845878,2.32495200959591,200901NH,80,55,2009-01-19,2009-01-16,16,20:38:00,16025.58,89.24,1649.69,0.88,3299.38,90.48,1414.02,39.86,443531.49,1280.76,471.34,153.43,0,0,97096.16,90.15,11783.51,13.91,9191.14,14.53,0,0,0,0,7541.45,47.3,3299.38,3.9,34407.86,755.58,41006.63,66.87,1885.36,4.95,0,0,0,0,2356.7,2.42,0,0,0,0,0,0
2009,1,080.0 055.0,50,7.89990489524793,2.37827842391397,99.837195920035,2231.3,2104.4,566.417847417353,14.7214017392583,1.51394291470545,200901NH,80,55,2009-01-19,2009-01-16,16,20:38:00,16025.58,89.24,1649.69,0.88,3299.38,90.48,1414.02,39.86,443531.49,1280.76,471.34,153.43,0,0,97096.16,90.15,11783.51,13.91,9191.14,14.53,0,0,0,0,7541.45,47.3,3299.38,3.9,34407.86,755.58,41006.63,66.87,1885.36,4.95,0,0,0,0,2356.7,2.42,0,0,0,0,0,0
2009,1,080.0 055.0,100,7.74376581191069,1.63174000997404,69.3102140433981,2246,2176.3,833.155360043852,17.2746225679881,1.03716504270481,200901NH,80,55,2009-01-19,2009-01-16,16,20:38:00,16025.58,89.24,1649.69,0.88,3299.38,90.48,1414.02,39.86,443531.49,1280.76,471.34,153.43,0,0,97096.16,90.15,11783.51,13.91,9191.14,14.53,0,0,0,0,7541.45,47.3,3299.38,3.9,34407.86,755.58,41006.63,66.87,1885.36,4.95,0,0,0,0,2356.7,2.42,0,0,0,0,0,0
2009,1,080.0 055.0,171,7.6793375835156,1.38211962400553,59.5781353107677,2262.1,2213.6,971.15343034862,18.0496200100713,0.87841962876386,200901NH,80,55,2009-01-19,2009-01-16,16,20:38:00,16025.58,89.24,1649.69,0.88,3299.38,90.48,1414.02,39.86,443531.49,1280.76,471.34,153.43,0,0,97096.16,90.15,11783.51,13.91,9191.14,14.53,0,0,0,0,7541.45,47.3,3299.38,3.9,34407.86,755.58,41006.63,66.87,1885.36,4.95,0,0,0,0,2356.7,2.42,0,0,0,0,0,0
2009,3,080.0 055.0,3,8.06038264753671,3.41977886066119,142.189756788919,2232.2,2035.6,376.131770837059,12.0759638273266,2.1797701462448,200903JD,80,55,2009-03-20,2009-03-16,16,00:39:00,32012.92,120.05,1385.29,1.49,3212.27,66.85,2554.86,74.33,319373.96,927.87,359.95,8.22,568.89,0.15,206992.9,182.38,26686.38,22.18,23060.82,41.37,2089.32,0.38,0,0,30457.36,337.71,11257.32,23,181664.33,4398.51,30172.37,66.78,1266.08,7.61,10920.08,19.18,346.32,8.35,697.19,0.52,0,0,1038.97,0.31,0,0
2009,3,080.0 055.0,21,8.05147046983808,3.34055495969284,139.345897420264,2230.2,2038,383.973806415055,12.2118613764407,2.12935392097686,200903JD,80,55,2009-03-20,2009-03-16,16,00:39:00,32012.92,120.05,1385.29,1.49,3212.27,66.85,2554.86,74.33,319373.96,927.87,359.95,8.22,568.89,0.15,206992.9,182.38,26686.38,22.18,23060.82,41.37,2089.32,0.38,0,0,30457.36,337.71,11257.32,23,181664.33,4398.51,30172.37,66.78,1266.08,7.61,10920.08,19.18,346.32,8.35,697.19,0.52,0,0,1038.97,0.31,0,0
2009,3,080.0 055.0,51,7.86586265338685,2.14405438324469,90.0399612936261,2229.7,2119.8,615.310012433577,15.5032171451263,1.36258497007452,200903JD,80,55,2009-03-20,2009-03-16,16,00:39:00,32012.92,120.05,1385.29,1.49,3212.27,66.85,2554.86,74.33,319373.96,927.87,359.95,8.22,568.89,0.15,206992.9,182.38,26686.38,22.18,23060.82,41.37,2089.32,0.38,0,0,30457.36,337.71,11257.32,23,181664.33,4398.51,30172.37,66.78,1266.08,7.61,10920.08,19.18,346.32,8.35,697.19,0.52,0,0,1038.97,0.31,0,0
2009,3,080.0 055.0,102,7.73651431538947,1.56334198322174,66.4473557640368,2247.3,2183.2,845.521533952453,17.5369136174735,0.992493891201359,200903JD,80,55,2009-03-20,2009-03-16,16,00:39:00,32012.92,120.05,1385.29,1.49,3212.27,66.85,2554.86,74.33,319373.96,927.87,359.95,8.22,568.89,0.15,206992.9,182.38,26686.38,22.18,23060.82,41.37,2089.32,0.38,0,0,30457.36,337.71,11257.32,23,181664.33,4398.51,30172.37,66.78,1266.08,7.61,10920.08,19.18,346.32,8.35,697.19,0.52,0,0,1038.97,0.31,0,0
2009,3,080.0 055.0,169,7.64939220194325,1.28411074186998,55.3605109279871,2268.9,2230.6,1046.19127049171,18.3182841771809,0.815745072950986,200903JD,80,55,2009-03-20,2009-03-16,16,00:39:00,32012.92,120.05,1385.29,1.49,3212.27,66.85,2554.86,74.33,319373.96,927.87,359.95,8.22,568.89,0.15,206992.9,182.38,26686.38,22.18,23060.82,41.37,2089.32,0.38,0,0,30457.36,337.71,11257.32,23,181664.33,4398.51,30172.37,66.78,1266.08,7.61,10920.08,19.18,346.32,8.35,697.19,0.52,0,0,1038.97,0.31,0,0
2009,7,080.0 055.0,2,8.02374815512269,3.35550396860382,139.574976976716,2243.9,2052.4,416.99735063261,12.2417578600018,2.14528939311661,200907M2,80,55,2009-07-27,2009-07-23,23,08:59:00,10722.45,164.37,9537.67,8.7,9891.47,440.31,8056.08,281.25,299274.57,1477.49,116.44,55.49,1126.56,3.19,82822.1,121.54,6750.39,6.39,15188.37,30.24,10161.41,1.12,0,0,18541.17,198.95,27652.15,170.58,24339.66,421.97,33164.02,100.87,4515.19,14.73,3388.63,5.34,1705.51,11.93,5067.27,32.05,0,0,4497.27,1.42,44.78,19.19
