Station_ID,Month_UTC,Year_UTC,appendicularia Abundance (No. per m2),appendicularia Estimated C Biomass (mgC m-2),bryozoan_larvae Abundance (No. per m2),bryozoan_larvae Estimated C Biomass (mgC m-2),chaetognatha Abundance (No. per m2),chaetognatha Estimated C Biomass (mgC m-2),cnidaria_ctenophores Abundance (No. per m2),cnidaria_ctenophores Estimated C Biomass (mgC m-2),copepoda_calanoida_minus_eucalanids Abundance (No. per m2),copepoda_calanoida_minus_eucalanids Estimated C Biomass (mgC m-2),copepoda_eucalanids Abundance (No. per m2),copepoda_eucalanids Estimated C Biomass (mgC m-2),copepoda_harpacticoida Abundance (No. per m2),copepoda_harpacticoida Estimated C Biomass (mgC m-2),copepoda_oithona_like Abundance (No. per m2),copepoda_oithona_like Estimated C Biomass (mgC m-2),copepoda_others Abundance (No. per m2),copepoda_others Estimated C Biomass (mgC m-2),copepoda_poecilostomatoids Abundance (No. per m2),copepoda_poecilostomatoids Estimated C Biomass (mgC m-2),crustacea_others Abundance (No. per m2),crustacea_others Estimated C Biomass (mgC m-2),doliolids Abundance (No. per m2),doliolids Estimated C Biomass (mgC m-2),eggs Abundance (No. per m2),eggs Estimated C Biomass (mgC m-2),euphausiids Abundance (No. per m2),euphausiids Estimated C Biomass (mgC m-2),multiples Abundance (No. per m2),multiples Estimated C Biomass (mgC m-2),nauplii Abundance (No. per m2),nauplii Estimated C Biomass (mgC m-2),ostracods Abundance (No. per m2),ostracods Estimated C Biomass (mgC m-2),others Abundance (No. per m2),others Estimated C Biomass (mgC m-2),polychaete Abundance (No. per m2),polychaete Estimated C Biomass (mgC m-2),pteropoda_heteropoda Abundance (No. per m2),pteropoda_heteropoda Estimated C Biomass (mgC m-2),pyrosomes Abundance (No. per m2),pyrosomes Estimated C Biomass (mgC m-2),rhizaria Abundance (No. per m2),rhizaria Estimated C Biomass (mgC m-2),salps Abundance (No. per m2),salps Estimated C Biomass (mgC m-2),pH_min,pH_max,pH_mean,pH_median,pH_var,pH_range,depth_at_pH_min,depth_at_pH_max,OmegaCA_min,OmegaCA_max,OmegaCA_mean,OmegaCA_median,OmegaCA_var,OmegaCA_range,depth_at_OmegaCA_min,depth_at_OmegaCA_max,CO3_min,CO3_max,CO3_mean,CO3_median,CO3_var,CO3_range,depth_at_CO3_min,depth_at_CO3_max,TA_min,TA_max,TA_mean,TA_median,TA_var,TA_range,depth_at_TA_min,depth_at_TA_max,DIC_min,DIC_max,DIC_mean,DIC_median,DIC_var,DIC_range,depth_at_DIC_min,depth_at_DIC_max,pCO2_min,pCO2_max,pCO2_mean,pCO2_median,pCO2_var,pCO2_range,depth_at_pCO2_min,depth_at_pCO2_max,RF_min,RF_max,RF_mean,RF_median,RF_var,RF_range,depth_at_RF_min,depth_at_RF_max,OmegaAR_min,OmegaAR_max,OmegaAR_mean,OmegaAR_median,OmegaAR_var,OmegaAR_range,depth_at_OmegaAR_min,depth_at_OmegaAR_max
080.0 051.0,1,2015,8292.86,49.54,2057.14,1.09,2807.14,64.79,728.57,20.95,163435.71,1003.7,814.29,41.71,685.71,0.48,28821.43,57.29,0,0,13714.29,28.74,1307.14,11.71,0,0,0,0,2550,143.49,2250,12.43,1542.86,9.1,364.29,1.7,2464.29,12.05,364.29,3.62,6685.71,38.35,0,0,2078.57,0.8,0,0,7.9832503655264,8.07150388479407,8.018747537244531,8.010117949328826,0.0017195030394367595,0.08825351926767055,60,2,3.01213768414132,3.87652581941022,3.353403257802165,3.26247476382856,0.16564907567784656,0.8643881352689,60,2,126.418732317211,160.792632687585,139.98555935146575,136.3654362005335,263.5109200327579,34.37390037037402,60,2,2228.2,2233.7,2229.675,2228.4,7.209166666666203,5.5,60,2,2009.6,2057.5,2037.8,2042.05,527.086666666669,47.90000000000009,2,60,366.527881307072,458.255081303213,420.665227077172,428.9389728492015,1879.022373733069,91.727199996141,2,60,11.2266766197298,12.9140512083784,12.223626298953675,12.376888683853249,0.645970117686313,1.6873745886486002,2,60,1.92490288762528,2.48690256442532,2.14668789114909,2.08747305627288,0.07008856794479111,0.5619996768000399,60,2
080.0 051.0,1,2016,1825,8.39,3400,2.22,3245,101.14,1800,45.83,164400,608.24,50,10.21,625,1.21,72025,134.2,0,0,55675,70.17,400,1.27,0,0,3400,14.75,4550,93.74,2225,7.64,1800,7.14,1600,1.7,3880,16.19,1200,8.38,400,0.35,0,0,600,0.49,0,0,7.9973654765885,8.01850083268682,8.007471514430136,8.00654823401509,1.1231515439431202e-4,0.021135356098320734,30,4,3.22519795144581,3.38258065588794,3.2951549137846734,3.27768613402027,0.006421197614222635,0.1573827044421301,30,4,134.765230899254,140.698175814998,137.629779395561,137.425931472431,8.831124325136464,5.932944915744002,30,4,2241.1,2258.8,2247.7,2243.2,93.51000000000344,17.700000000000273,4,49,2048.3,2071.5,2059.9,2059.9,134.5599999999979,23.199999999999818,4,49,422.61772792616,446.015748264078,435.32160083253734,437.331326307374,139.89608629656186,23.398020337918013,4,30,12.1751699751406,12.4960709860583,12.3647044009422,12.4228722416277,0.028281987969510772,0.32090101091769974,4,30,2.06463182012163,2.16530334165834,2.1092526958894133,2.09782292588827,0.002631668543838345,0.10067152153671,30,4
080.0 051.0,1,2017,12308.48,81.87,1634.32,0.81,5173.65,184.14,11899.9,226.17,274111.34,1221.38,0,0,0,0,84576.1,110.38,817.16,2.5,5311.54,13.64,0,0,0,0,817.16,3.72,12778.35,423.43,2042.9,11.05,2451.48,3.29,0,0,817.16,1.7,408.58,2.75,5311.54,5.52,0,0,4085.8,1.79,0,0,7.84916792294146,8.03295541536993,7.95773684709188,7.974412025028065,0.006640767277481273,0.18378749242847015,64,2,2.13277026539844,3.36404642920099,2.8321858125395476,2.91596327777938,0.2949878441823591,1.23127616380255,64,2,89.7235769113163,139.69141823191,118.32872845810307,121.949959344593,488.11888847364156,49.967841320593706,64,2,2224.7,2225.3,2225.1,2225.2,0.07333333333338184,0.6000000000003638,2,64,2032.7,2116.5,2068.175,2061.75,1370.4891666666654,83.79999999999995,2,64,404.206118418099,642.136567487484,496.712420358363,470.2534977639345,11281.709317850871,237.93044906938496,2,64,12.173841740072,15.5036502452709,13.521234603452575,13.203723214233701,2.1907951922848174,3.3298085051989013,2,64,1.35775627274676,2.14915460514709,1.80724337983088,1.8610313207148348,0.12188999751642499,0.79139833240033,64,2
080.0 051.0,1,2021,0,0,485.4,0.71,53.39,1.82,24.27,2.75,120015.51,342.77,0,0,485.4,0.23,2912.41,2.95,0,0,485.4,0.91,18954.93,3.4,0,0,970.8,52.96,0,0,970.8,3.75,12135.04,15.35,485.4,0.19,1456.2,0.65,0,0,0,0,0,0,533.94,0.29,0,0,7.97142463149687,7.97142463149687,7.97142463149687,7.97142463149687,NA,0,2,2,2.86569136891822,2.86569136891822,2.86569136891822,2.86569136891822,NA,0,2,2,119.056357880634,119.056357880634,119.056357880634,119.056357880634,NA,0,2,2,2218.9,2218.9,2218.9,2218.9,NA,0,2,2,2059.9,2059.9,2059.9,2059.9,NA,0,2,2,473.122746347191,473.122746347191,473.122746347191,473.122746347191,NA,0,2,2,13.337401368918,13.337401368918,13.337401368918,13.337401368918,NA,0,2,2,1.82683626491152,1.82683626491152,1.82683626491152,1.82683626491152,NA,0,2,2
080.0 051.0,2,2019,202.23,5.19,394.59,0.37,596.82,7.68,39.46,2.18,94593.32,323.41,39.46,29.94,197.3,0.24,5721.57,11.36,789.18,0.52,17406.39,39.34,3551.32,1.09,0,0,1065.4,20.36,434.05,1.32,394.59,1.21,3156.73,6.98,986.48,2.3,1820.05,0.94,197.3,1.71,991.41,1.37,0,0,394.59,0.2,0,0,8.0035519996207,8.0035519996207,8.0035519996207,8.0035519996207,NA,0,2,2,3.22842659655527,3.22842659655527,3.22842659655527,3.22842659655527,NA,0,2,2,134.241089669647,134.241089669647,134.241089669647,134.241089669647,NA,0,2,2,2227.2,2227.2,2227.2,2227.2,NA,0,2,2,2044.4,2044.4,2044.4,2044.4,NA,0,2,2,436.948640999207,436.948640999207,436.948640999207,436.948640999207,NA,0,2,2,12.4579610833661,12.4579610833661,12.4579610833661,12.4579610833661,NA,0,2,2,2.06502640833132,2.06502640833132,2.06502640833132,2.06502640833132,NA,0,2,2
080.0 051.0,4,2014,197488.57,1457.63,0,0,1225.71,23.46,6165.71,145.7,188165.71,1097.15,687.14,90.6,0,0,47728.57,79.38,1392.86,1.52,9434.29,17.98,13928.57,4.43,0,0,107788.57,527.35,16714.29,24.49,10047.14,427.87,111892.86,275.41,464.29,6.52,120862.86,70.54,1392.86,16.55,6964.29,10.89,0,0,11217.14,4.11,0,0,7.70721657980257,7.93125767188763,7.788126882598985,7.7570166393528694,0.010683065314865731,0.22404109208506018,50,2,1.50607965935917,2.54548218323717,1.8639406506376477,1.702100379977125,0.2318747873232876,1.039402523878,50,2,63.3685761992036,105.998143786318,78.08344720710745,71.4835344214541,388.70172909820855,42.629567587114394,50,2,2239.8,2248.4,2244.05,2244,21.456666666665516,8.599999999999909,30,60,2103,2190.9,2158.775,2170.6,1676.0158333333359,87.90000000000009,2,50,526.974712138638,916.774599753751,768.449340767952,815.0240255897095,32260.999763501633,389.799887615113,2,50,14.3093716524598,17.7495667056936,16.56117904458965,17.0928889101026,2.5414017611904627,3.440195053233799,2,50,0.956295355801535,1.61913737143131,1.184484277670477,1.0812521917245315,0.0942842606030642,0.662842015629775,50,2
080.0 051.0,4,2015,6520.77,88.88,0,0,539,7.79,399.54,22.35,84434.54,991.13,2676.15,178.59,452.31,0.54,14684.92,18.3,603.08,0.64,3316.92,8.36,2453.77,0.87,173.38,12.28,21737.15,128.42,9611.54,77.75,1978.85,18.8,13757.69,38.17,0,0,3320.69,5.44,320.38,2.09,1809.23,17.62,0,0,603.08,0.75,207.31,158.46,7.7584407388608,7.9582988936179,7.82103197942471,7.78369414261007,0.008780261059419793,0.19985815475709945,61,2,1.66566452031751,2.64502364722553,1.9650327825863925,1.774721481401265,0.21303862626353523,0.9793591269080202,61,2,70.1839959595488,110.098591970192,82.2901990324819,74.4391041000934,355.5484721449052,39.91459601064321,61,2,2234.4,2249.7,2240.425,2238.8,42.86249999999865,15.299999999999727,29,2,2105.2,2166.2,2146.175,2156.65,824.7491666666692,61,2,61,493.056700539435,803.659551621193,703.1196555750367,757.8811850697596,20979.84107364654,310.60285108175805,2,61,14.0691117032503,17.2035626090829,16.2395354825257,16.8427338088848,2.181955772849212,3.134450905832601,2,61,1.0574763258325801,1.68049748089955,1.24784413130487,1.126701359243675,0.08623957296917406,0.62302115506697,61,2
080.0 051.0,4,2016,39645.07,800.72,1086.17,1.05,445.33,11.68,0,0,1465797.87,12972.87,2715.42,180.44,0,0,120781.71,172.39,5430.83,6.21,14120.16,54.95,2623.09,2614.78,0,0,14125.59,127.85,11649.13,236.47,73967.93,843.74,72773.15,155.29,0,0,8803.38,15.06,0,0,4344.67,5.8,0,0,2280.95,3.92,0,0,7.83439108471401,7.93233329283668,7.8912912126737105,7.899220236572075,0.0017744240522927959,0.09794220812266996,60,3,2.11385163781079,2.70214138254867,2.44083332486548,2.47367013955123,0.06290949867688815,0.5882897447378803,60,3,88.9662862839146,112.513354476044,102.21731256254489,103.6948047451105,101.20103086379845,23.5470681921294,60,3,2247.3,2248.8,2247.9,2247.75,0.42000000000005455,1.5,60,3,2101.8,2140.9,2118.425,2115.5,282.21583333333325,39.09999999999991,3,60,529.638939843458,673.231570889037,587.5125010412912,573.589746716335,3872.6632007452667,143.59263104557897,3,60,13.8876530976276,15.6475623139933,14.638436986535774,14.5092662672611,0.5700277511942312,1.759909216365699,3,60,1.34678641131563,1.72389299486305,1.5563562727115674,1.577372842333795,0.0258492648372593,0.3771065835474199,60,3
080.0 051.0,4,2017,6764.23,31.99,417.54,0.58,5433.3,104.41,1711.93,59.3,253454.99,960.08,334.04,171.34,0,0,89772.16,129.19,417.54,0.24,20877.25,47.58,2969.79,3.51,0,0,3763.12,16.04,1336.14,8.01,1670.18,6.19,16701.8,32.27,2922.81,3.57,2129.48,8.83,417.54,5.49,2129.48,1.75,0,0,3757.9,1.78,417.54,23.09,7.70068779572024,7.81303768932726,7.7370208730888095,7.71717900365387,0.002637000609415825,0.11234989360701952,60.3,2.2,1.48800520946453,1.98014591580306,1.64076420848405,1.547452854334305,0.05216214772150615,0.49214070633853013,60.3,2.2,62.7180731604403,82.4666689502185,68.78553044805766,64.9786898407859,84.55217243947612,19.748595789778207,60.3,2.2,2239,2247.9,2243.85,2244.25,13.616666666667044,8.900000000000091,2.2,60.3,2144.2,2192.7,2176.25,2184.05,475.20333333333707,48.5,2.2,60.3,710.713973669607,931.207002517249,858.0427649918543,895.1250418902805,9966.694207218057,220.493028847642,2.2,60.3,16.1549122899631,17.7978293710856,17.298436951570576,17.6205030726168,0.5895958682506435,1.6429170811225013,2.2,60.3,0.94504318805804,1.25913495363985,1.0423823282974298,0.9826755857459145,0.021270095765537123,0.31409176558180996,60.3,2.2
080.0 051.0,4,2018,2375.75,29.4,395.96,0.35,806.77,27.36,0,0,197147.99,1375.26,0,0,0,0,19401.99,40.98,395.96,0.39,19797.95,48.16,6374.94,32.08,0,0,7523.22,37.2,8631.91,65.06,791.92,10.07,28905.01,73.99,395.96,12.32,3682.42,34,395.96,6.4,4751.51,4.47,0,0,2771.71,1.68,0,0,7.91207869926061,7.91207869926061,7.91207869926061,7.91207869926061,NA,0,2,2,2.42715489749536,2.42715489749536,2.42715489749536,2.42715489749536,NA,0,2,2,101.172269286076,101.172269286076,101.172269286076,101.172269286076,NA,0,2,2,2251.2,2251.2,2251.2,2251.2,NA,0,2,2,2122.2,2122.2,2122.2,2122.2,NA,0,2,2,554.952371807956,554.952371807956,554.952371807956,554.952371807956,NA,0,2,2,14.6986145340202,14.6986145340202,14.6986145340202,14.6986145340202,NA,0,2,2,1.54309719542352,1.54309719542352,1.54309719542352,1.54309719542352,NA,0,2,2
