"Station_ID","Month_UTC","Year_UTC","appendiculariaAbundance","appendiculariaEstimatedBiomass","bryozoan_larvaeAbundance","bryozoan_larvaeEstimatedBiomass","chaetognathaAbundance","chaetognathaEstimatedBiomass","cnidaria_ctenophoresAbundance","cnidaria_ctenophoresEstimatedBiomass","copepoda_calanoida_minus_eucalanidsAbundance","copepoda_calanoida_minus_eucalanidsEstimatedBiomass","copepoda_eucalanidsAbundance","copepoda_eucalanidsEstimatedBiomass","copepoda_harpacticoidaAbundance","copepoda_harpacticoidaEstimatedBiomass","copepoda_oithona_likeAbundance","copepoda_oithona_likeEstimatedBiomass","copepoda_othersAbundance","copepoda_othersEstimatedBiomass","copepoda_poecilostomatoidsAbundance","copepoda_poecilostomatoidsEstimatedBiomass","crustacea_othersAbundance","crustacea_othersEstimatedBiomass","doliolidsAbundance","doliolidsEstimatedBiomass","eggsAbundance","eggsEstimatedBiomass","euphausiidsAbundance","euphausiidsEstimatedBiomass","multiplesAbundance","multiplesEstimatedBiomass","naupliiAbundance","naupliiEstimatedBiomass","ostracodsAbundance","ostracodsEstimatedBiomass","othersAbundance","othersEstimatedBiomass","polychaeteAbundance","polychaeteEstimatedBiomass","pteropoda_heteropodaAbundance","pteropoda_heteropodaEstimatedBiomass","pyrosomesAbundance","pyrosomesEstimatedBiomass","rhizariaAbundance","rhizariaEstimatedBiomass","salpsAbundance","salpsEstimatedBiomass","pH_min","pH_max","pH_mean","pH_median","pH_var","pH_range","depth_at_pH_min","depth_at_pH_max","OmegaCA_min","OmegaCA_max","OmegaCA_mean","OmegaCA_median","OmegaCA_var","OmegaCA_range","depth_at_OmegaCA_min","depth_at_OmegaCA_max","CO3_min","CO3_max","CO3_mean","CO3_median","CO3_var","CO3_range","depth_at_CO3_min","depth_at_CO3_max","TA_min","TA_max","TA_mean","TA_median","TA_var","TA_range","depth_at_TA_min","depth_at_TA_max","DIC_min","DIC_max","DIC_mean","DIC_median","DIC_var","DIC_range","depth_at_DIC_min","depth_at_DIC_max","pCO2_min","pCO2_max","pCO2_mean","pCO2_median","pCO2_var","pCO2_range","depth_at_pCO2_min","depth_at_pCO2_max","RF_min","RF_max","RF_mean","RF_median","RF_var","RF_range","depth_at_RF_min","depth_at_RF_max","OmegaAR_min","OmegaAR_max","OmegaAR_mean","OmegaAR_median","OmegaAR_var","OmegaAR_range","depth_at_OmegaAR_min","depth_at_OmegaAR_max","YearMonth","Longitude","Latitude"
"080.0 051.0",1,2015,8292.86,49.54,2057.14,1.09,2807.14,64.79,728.57,20.95,163435.71,1003.7,814.29,41.71,685.71,0.48,28821.43,57.29,0,0,13714.29,28.74,1307.14,11.71,0,0,0,0,2550,143.49,2250,12.43,1542.86,9.1,364.29,1.7,2464.29,12.05,364.29,3.62,6685.71,38.35,0,0,2078.57,0.8,0,0,7.9832503655264,8.07150388479407,8.01874753724453,8.01011794932883,0.00171950303943676,0.0882535192676706,60,2,3.01213768414132,3.87652581941022,3.35340325780217,3.26247476382856,0.165649075677847,0.8643881352689,60,2,126.418732317211,160.792632687585,139.985559351466,136.365436200534,263.510920032758,34.373900370374,60,2,2228.2,2233.7,2229.675,2228.4,7.2091666666662,5.5,60,2,2009.6,2057.5,2037.8,2042.05,527.086666666669,47.9000000000001,2,60,366.527881307072,458.255081303213,420.665227077172,428.938972849201,1879.02237373307,91.727199996141,2,60,11.2266766197298,12.9140512083784,12.2236262989537,12.3768886838532,0.645970117686313,1.6873745886486,2,60,1.92490288762528,2.48690256442532,2.14668789114909,2.08747305627288,0.0700885679447911,0.56199967680004,60,2,2015-01-01,-120.5239,34.45
"080.0 051.0",1,2016,1825,8.39,3400,2.22,3245,101.14,1800,45.83,164400,608.24,50,10.21,625,1.21,72025,134.2,0,0,55675,70.17,400,1.27,0,0,3400,14.75,4550,93.74,2225,7.64,1800,7.14,1600,1.7,3880,16.19,1200,8.38,400,0.35,0,0,600,0.49,0,0,7.9973654765885,8.01850083268682,8.00747151443014,8.00654823401509,0.000112315154394312,0.0211353560983207,30,4,3.22519795144581,3.38258065588794,3.29515491378467,3.27768613402027,0.00642119761422263,0.15738270444213,30,4,134.765230899254,140.698175814998,137.629779395561,137.425931472431,8.83112432513646,5.932944915744,30,4,2241.1,2258.8,2247.7,2243.2,93.5100000000034,17.7000000000003,4,49,2048.3,2071.5,2059.9,2059.9,134.559999999998,23.1999999999998,4,49,422.61772792616,446.015748264078,435.321600832537,437.331326307374,139.896086296562,23.398020337918,4,30,12.1751699751406,12.4960709860583,12.3647044009422,12.4228722416277,0.0282819879695108,0.3209010109177,4,30,2.06463182012163,2.16530334165834,2.10925269588941,2.09782292588827,0.00263166854383834,0.10067152153671,30,4,2016-01-01,-120.5239,34.45
"080.0 051.0",1,2017,12308.48,81.87,1634.32,0.81,5173.65,184.14,11899.9,226.17,274111.34,1221.38,0,0,0,0,84576.1,110.38,817.16,2.5,5311.54,13.64,0,0,0,0,817.16,3.72,12778.35,423.43,2042.9,11.05,2451.48,3.29,0,0,817.16,1.7,408.58,2.75,5311.54,5.52,0,0,4085.8,1.79,0,0,7.84916792294146,8.03295541536993,7.95773684709188,7.97441202502807,0.00664076727748127,0.18378749242847,64,2,2.13277026539844,3.36404642920099,2.83218581253955,2.91596327777938,0.294987844182359,1.23127616380255,64,2,89.7235769113163,139.69141823191,118.328728458103,121.949959344593,488.118888473642,49.9678413205937,64,2,2224.7,2225.3,2225.1,2225.2,0.0733333333333818,0.600000000000364,2,64,2032.7,2116.5,2068.175,2061.75,1370.48916666667,83.8,2,64,404.206118418099,642.136567487484,496.712420358363,470.253497763934,11281.7093178509,237.930449069385,2,64,12.173841740072,15.5036502452709,13.5212346034526,13.2037232142337,2.19079519228482,3.3298085051989,2,64,1.35775627274676,2.14915460514709,1.80724337983088,1.86103132071483,0.121889997516425,0.79139833240033,64,2,2017-01-01,-120.5239,34.45
"080.0 051.0",1,2021,0,0,485.4,0.71,53.39,1.82,24.27,2.75,120015.51,342.77,0,0,485.4,0.23,2912.41,2.95,0,0,485.4,0.91,18954.93,3.4,0,0,970.8,52.96,0,0,970.8,3.75,12135.04,15.35,485.4,0.19,1456.2,0.65,0,0,0,0,0,0,533.94,0.29,0,0,7.97142463149687,7.97142463149687,7.97142463149687,7.97142463149687,NA,0,2,2,2.86569136891822,2.86569136891822,2.86569136891822,2.86569136891822,NA,0,2,2,119.056357880634,119.056357880634,119.056357880634,119.056357880634,NA,0,2,2,2218.9,2218.9,2218.9,2218.9,NA,0,2,2,2059.9,2059.9,2059.9,2059.9,NA,0,2,2,473.122746347191,473.122746347191,473.122746347191,473.122746347191,NA,0,2,2,13.337401368918,13.337401368918,13.337401368918,13.337401368918,NA,0,2,2,1.82683626491152,1.82683626491152,1.82683626491152,1.82683626491152,NA,0,2,2,2021-01-01,-120.5239,34.45
"080.0 051.0",2,2019,202.23,5.19,394.59,0.37,596.82,7.68,39.46,2.18,94593.32,323.41,39.46,29.94,197.3,0.24,5721.57,11.36,789.18,0.52,17406.39,39.34,3551.32,1.09,0,0,1065.4,20.36,434.05,1.32,394.59,1.21,3156.73,6.98,986.48,2.3,1820.05,0.94,197.3,1.71,991.41,1.37,0,0,394.59,0.2,0,0,8.0035519996207,8.0035519996207,8.0035519996207,8.0035519996207,NA,0,2,2,3.22842659655527,3.22842659655527,3.22842659655527,3.22842659655527,NA,0,2,2,134.241089669647,134.241089669647,134.241089669647,134.241089669647,NA,0,2,2,2227.2,2227.2,2227.2,2227.2,NA,0,2,2,2044.4,2044.4,2044.4,2044.4,NA,0,2,2,436.948640999207,436.948640999207,436.948640999207,436.948640999207,NA,0,2,2,12.4579610833661,12.4579610833661,12.4579610833661,12.4579610833661,NA,0,2,2,2.06502640833132,2.06502640833132,2.06502640833132,2.06502640833132,NA,0,2,2,2019-02-01,-120.5239,34.45
"080.0 051.0",4,2014,197488.57,1457.63,0,0,1225.71,23.46,6165.71,145.7,188165.71,1097.15,687.14,90.6,0,0,47728.57,79.38,1392.86,1.52,9434.29,17.98,13928.57,4.43,0,0,107788.57,527.35,16714.29,24.49,10047.14,427.87,111892.86,275.41,464.29,6.52,120862.86,70.54,1392.86,16.55,6964.29,10.89,0,0,11217.14,4.11,0,0,7.70721657980257,7.93125767188763,7.78812688259899,7.75701663935287,0.0106830653148657,0.22404109208506,50,2,1.50607965935917,2.54548218323717,1.86394065063765,1.70210037997713,0.231874787323288,1.039402523878,50,2,63.3685761992036,105.998143786318,78.0834472071075,71.4835344214541,388.701729098209,42.6295675871144,50,2,2239.8,2248.4,2244.05,2244,21.4566666666655,8.59999999999991,30,60,2103,2190.9,2158.775,2170.6,1676.01583333334,87.9000000000001,2,50,526.974712138638,916.774599753751,768.449340767952,815.02402558971,32260.9997635016,389.799887615113,2,50,14.3093716524598,17.7495667056936,16.5611790445897,17.0928889101026,2.54140176119046,3.4401950532338,2,50,0.956295355801535,1.61913737143131,1.18448427767048,1.08125219172453,0.0942842606030642,0.662842015629775,50,2,2014-04-01,-120.5239,34.45
"080.0 051.0",4,2015,6520.77,88.88,0,0,539,7.79,399.54,22.35,84434.54,991.13,2676.15,178.59,452.31,0.54,14684.92,18.3,603.08,0.64,3316.92,8.36,2453.77,0.87,173.38,12.28,21737.15,128.42,9611.54,77.75,1978.85,18.8,13757.69,38.17,0,0,3320.69,5.44,320.38,2.09,1809.23,17.62,0,0,603.08,0.75,207.31,158.46,7.7584407388608,7.9582988936179,7.82103197942471,7.78369414261007,0.00878026105941979,0.199858154757099,61,2,1.66566452031751,2.64502364722553,1.96503278258639,1.77472148140127,0.213038626263535,0.97935912690802,61,2,70.1839959595488,110.098591970192,82.2901990324819,74.4391041000934,355.548472144905,39.9145960106432,61,2,2234.4,2249.7,2240.425,2238.8,42.8624999999986,15.2999999999997,29,2,2105.2,2166.2,2146.175,2156.65,824.749166666669,61,2,61,493.056700539435,803.659551621193,703.119655575037,757.88118506976,20979.8410736465,310.602851081758,2,61,14.0691117032503,17.2035626090829,16.2395354825257,16.8427338088848,2.18195577284921,3.1344509058326,2,61,1.05747632583258,1.68049748089955,1.24784413130487,1.12670135924367,0.0862395729691741,0.62302115506697,61,2,2015-04-01,-120.5239,34.45
"080.0 051.0",4,2016,39645.07,800.72,1086.17,1.05,445.33,11.68,0,0,1465797.87,12972.87,2715.42,180.44,0,0,120781.71,172.39,5430.83,6.21,14120.16,54.95,2623.09,2614.78,0,0,14125.59,127.85,11649.13,236.47,73967.93,843.74,72773.15,155.29,0,0,8803.38,15.06,0,0,4344.67,5.8,0,0,2280.95,3.92,0,0,7.83439108471401,7.93233329283668,7.89129121267371,7.89922023657208,0.0017744240522928,0.09794220812267,60,3,2.11385163781079,2.70214138254867,2.44083332486548,2.47367013955123,0.0629094986768882,0.58828974473788,60,3,88.9662862839146,112.513354476044,102.217312562545,103.69480474511,101.201030863798,23.5470681921294,60,3,2247.3,2248.8,2247.9,2247.75,0.420000000000055,1.5,60,3,2101.8,2140.9,2118.425,2115.5,282.215833333333,39.0999999999999,3,60,529.638939843458,673.231570889037,587.512501041291,573.589746716335,3872.66320074527,143.592631045579,3,60,13.8876530976276,15.6475623139933,14.6384369865358,14.5092662672611,0.570027751194231,1.7599092163657,3,60,1.34678641131563,1.72389299486305,1.55635627271157,1.5773728423338,0.0258492648372593,0.37710658354742,60,3,2016-04-01,-120.5239,34.45
"080.0 051.0",4,2017,6764.23,31.99,417.54,0.58,5433.3,104.41,1711.93,59.3,253454.99,960.08,334.04,171.34,0,0,89772.16,129.19,417.54,0.24,20877.25,47.58,2969.79,3.51,0,0,3763.12,16.04,1336.14,8.01,1670.18,6.19,16701.8,32.27,2922.81,3.57,2129.48,8.83,417.54,5.49,2129.48,1.75,0,0,3757.9,1.78,417.54,23.09,7.70068779572024,7.81303768932726,7.73702087308881,7.71717900365387,0.00263700060941583,0.11234989360702,60.3,2.2,1.48800520946453,1.98014591580306,1.64076420848405,1.5474528543343,0.0521621477215062,0.49214070633853,60.3,2.2,62.7180731604403,82.4666689502185,68.7855304480577,64.9786898407859,84.5521724394761,19.7485957897782,60.3,2.2,2239,2247.9,2243.85,2244.25,13.616666666667,8.90000000000009,2.2,60.3,2144.2,2192.7,2176.25,2184.05,475.203333333337,48.5,2.2,60.3,710.713973669607,931.207002517249,858.042764991854,895.12504189028,9966.69420721806,220.493028847642,2.2,60.3,16.1549122899631,17.7978293710856,17.2984369515706,17.6205030726168,0.589595868250643,1.6429170811225,2.2,60.3,0.94504318805804,1.25913495363985,1.04238232829743,0.982675585745915,0.0212700957655371,0.31409176558181,60.3,2.2,2017-04-01,-120.5239,34.45
"080.0 051.0",4,2018,2375.75,29.4,395.96,0.35,806.77,27.36,0,0,197147.99,1375.26,0,0,0,0,19401.99,40.98,395.96,0.39,19797.95,48.16,6374.94,32.08,0,0,7523.22,37.2,8631.91,65.06,791.92,10.07,28905.01,73.99,395.96,12.32,3682.42,34,395.96,6.4,4751.51,4.47,0,0,2771.71,1.68,0,0,7.91207869926061,7.91207869926061,7.91207869926061,7.91207869926061,NA,0,2,2,2.42715489749536,2.42715489749536,2.42715489749536,2.42715489749536,NA,0,2,2,101.172269286076,101.172269286076,101.172269286076,101.172269286076,NA,0,2,2,2251.2,2251.2,2251.2,2251.2,NA,0,2,2,2122.2,2122.2,2122.2,2122.2,NA,0,2,2,554.952371807956,554.952371807956,554.952371807956,554.952371807956,NA,0,2,2,14.6986145340202,14.6986145340202,14.6986145340202,14.6986145340202,NA,0,2,2,1.54309719542352,1.54309719542352,1.54309719542352,1.54309719542352,NA,0,2,2,2018-04-01,-120.5239,34.45
