OSTRACODA - All genera and species - All phases and stages
1951 to 2024 - All times
All regions
Pooled and Unpooled Samples
Abundance per m2 - Biomass mg Carbon per 

RowNumber,Cruise,Ship,Date,Line,Station,Region,TowBegin,TowEnd,Latitude,Longitude,Abundance,Tows,Source
1,CALCOFI 5103,BLACK DOUGLAS,1951-03-14,93,70,SC,1951-03-14 18:12:00,1951-03-14 18:36:00,31.48,-120.23,129.1,1,Unpooled
2,CALCOFI 5103,BLACK DOUGLAS,1951-03-18,90,37,SC,1951-03-18 02:41:00,1951-03-18 03:06:00,33.18,-118.40,87.2,1,Unpooled
3,CALCOFI 5103,BLACK DOUGLAS,1951-03-23,80,60,SC,1951-03-23 02:36:00,1951-03-23 03:01:00,34.15,-121.15,109.3,1,Unpooled
4,CALCOFI 5104,CREST,1951-04-08,93,30,SC,1951-04-08 23:24:00,1951-04-08 23:48:00,32.83,-117.53,121.0,1,Unpooled
5,CALCOFI 5104,BLACK DOUGLAS,1951-04-09,80,55,SC,1951-04-09 19:40:00,1951-04-09 20:05:00,34.32,-120.80,125.1,1,Unpooled
6,CALCOFI 5104,BLACK DOUGLAS,1951-04-09,80,60,SC,1951-04-09 23:31:00,1951-04-09 23:56:00,34.15,-121.15,162.4,1,Unpooled
7,CALCOFI 5104,CREST,1951-04-10,93,70,SC,1951-04-10 00:48:00,1951-04-10 01:13:00,31.50,-120.25,246.1,1,Unpooled
8,CALCOFI 5104,BLACK DOUGLAS,1951-04-13,83,60,SC,1951-04-13 23:22:00,1951-04-13 23:47:00,33.57,-120.75,149.7,1,Unpooled
9,CALCOFI 5104,BLACK DOUGLAS,1951-04-14,83,55,SC,1951-04-14 04:06:00,1951-04-14 04:31:00,33.73,-120.42,40.7,1,Unpooled
10,CALCOFI 5104,BLACK DOUGLAS,1951-04-15,87,50,SC,1951-04-15 01:36:00,1951-04-15 01:56:00,33.33,-119.67,13.1,1,Unpooled
11,CALCOFI 5104,CREST,1951-04-16,90,53,SC,1951-04-16 23:00:00,1951-04-16 23:24:00,32.63,-119.47,250.3,1,Unpooled
12,CALCOFI 5104,CREST,1951-04-17,90,45,SC,1951-04-17 04:54:00,1951-04-17 05:19:00,32.90,-118.92,87.9,1,Unpooled
13,CALCOFI Monterey 5105,BLACK DOUGLAS,1951-05-01,63,57,CC,1951-05-01 19:56:00,1951-05-01 20:21:00,37.15,-122.97,529.5,1,Unpooled
14,CALCOFI Monterey 5105,BLACK DOUGLAS,1951-05-02,60,60,CC,1951-05-02 23:12:00,1951-05-02 23:36:00,37.62,-123.62,183.6,1,Unpooled
