EXPOCODE,Ship_Name.cc,Date.cc,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Station_ID,Latitude,Longitude,Depth,CTDTEMP_ITS90,CTDTEMP_flag,Salinity_PSS78,Salinity_flag,DIC,DIC_flag,TA,TA_flag,Cst_Cnt,Btl_Cnt,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_Sal,R_DYNHT,R_Nuts,R_Oxy_µmol/Kg,DIC1,DIC2,TA1,TA2,pH1,pH2,DIC Quality Comment,Cruise_ID,Cruise,Cruz_Sta,DbSta_ID,Cast_ID,Quarter,Sta_Code,Distance,Date.hydro,Julian_Date,Julian_Day,Time,Lat_Dec,Lat_Deg,Lat_Min,Lat_Hem,Lon_Dec,Lon_Deg,Lon_Min,Lon_Hem,Rpt_Line,St_Line,Ac_Line,Rpt_Sta,St_Station,Ac_Sta,Bottom_D,Secchi,ForelU,Ship_Name.hydro,Ship_Code,Data_Type,Order_Occ,Event_Num,Cruz_Leg,Orig_Sta_ID,Data_Or,Cruz_Num,IntChl,IntC14,Inc_Str,Inc_End,PST_LAN,Civil_T,TimeZone,Wave_Dir,Wave_Ht,Wave_Prd,Wind_Dir,Wind_Spd,Barometer,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility,Depthm_Upper,Depthm_Lower,anom
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 051.0,34.45,-120.5239,3,15.508,2,33.721,2,2020.8,2,2248,2,35601,894482,20-21055S-MX-133-0023-08000510-0003A-3,3,15.508,24.87503,6.592,24.87503,116.16,287.25,5,3,33,6,116,287,3,6,NA,6,3.371,NA,0.829,NA,0.32,NA,3.27,NA,0.042,NA,1.35,NA,0.12,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,15.51,306.8,0.009,0.12,287.25,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000510,08000510,20-21055S-MX-133-00:23-08000510,2,ST,-2.63,2021-05-13,44329,133,00:23:36,34.45137,34,27.082,N,-120.52332,-120,31.399,W,080.0,80,80,051.0,51,51,72,7,NA,RV BELL M SHIMADA,325S,MX,39,45,1,80.0 51.0,3101,2105,162.8,NA,NA,NA,NA,NA,NA,28,3,10,30,7,1017.2,13.3,12.6,2,7,8,7,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 055.0,34.3167,-120.8024,31,11.43,2,33.899,2,2144.8,3,2256.4,2,35602,894497,20-21055S-MX-132-2035-08000550-0031A-3,31,11.43,25.84242,4.559,25.84242,73.91,198.48,9,3,33,4,73,198,3,6,6,6,1.076,NA,0.879,NA,1.47,NA,18.21,NA,0.195,NA,15.82,NA,1.36,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,31,11.43,215.5,0.07,1.36,198.48,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000550,08000550,20-21055S-MX-132-20:35-08000550,2,ST,-18.424,2021-05-12,44328,132,20:35:24,34.3249,34,19.494,N,-120.80522,-120,48.313,W,080.0,80,80,055.0,55,55,754,6,NA,RV BELL M SHIMADA,325S,MX,38,44,1,80.0 55.0,3101,2105,78.9,NA,NA,NA,NA,NA,NA,29,2,6,20,6,1018.2,13.9,12.7,2,6,8,7,31.9,30.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 055.0,34.3167,-120.8024,3,13.261,2,33.788,2,2097.7,3,2254,2,35602,894491,20-21055S-MX-132-2035-08000550-0003A-3,3,13.261,25.40269,5.176,25.40269,87.16,225.43,12,3,33,5,87,225,3,6,NA,6,2.165,NA,0.9,NA,0.78,NA,10.96,NA,0.152,NA,8.01,NA,0.34,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,13.26,256.6,0.008,0.34,225.43,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000550,08000550,20-21055S-MX-132-20:35-08000550,2,ST,-18.424,2021-05-12,44328,132,20:35:24,34.3249,34,19.494,N,-120.80522,-120,48.313,W,080.0,80,80,055.0,55,55,754,6,NA,RV BELL M SHIMADA,325S,MX,38,44,1,80.0 55.0,3101,2105,78.9,NA,NA,NA,NA,NA,NA,29,2,6,20,6,1018.2,13.9,12.7,2,6,8,7,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 060.0,34.15,-121.15,4,13.257,2,33.46,2,2058.9,2,2234,2,35603,894515,20-21055S-MX-132-1636-08000600-0004A-3,4,13.257,25.14978,6.094,25.14978,102.41,265.48,12,3,33,6,102,265,3,NA,NA,NA,0.626,NA,0.207,NA,0.61,NA,3.41,NA,0.103,NA,5.11,NA,0.18,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,4,13.26,280.6,0.011,0.18,265.48,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000600,08000600,20-21055S-MX-132-16:36-08000600,2,ST,-38.473,2021-05-12,44328,132,16:36:01,34.15008,34,9.005,N,-121.1497,-121,8.982,W,080.0,80,80,060.0,60,60,2197,17,NA,RV BELL M SHIMADA,325S,MX,37,43,1,80.0 60.0,3101,2105,49.5,NA,NA,NA,NA,NA,NA,27,3,7,18,2,1017.6,11.3,10.8,2,8,8,6,4.9,3.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 070.0,33.8167,-121.843,3,13.89,2,33.244,2,2033.9,2,2219.8,2,35604,894540,20-21055S-MX-132-1102-08000700-0003A-3,3,13.89,24.8536,6.071,24.8536,103.23,264.56,12,3,33,6,103,264,3,NA,NA,NA,0.509,NA,0.136,NA,0.41,NA,1.9,NA,0.092,NA,1.18,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,13.89,308.8,0.009,0,264.56,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000700,08000700,20-21055S-MX-132-11:02-08000700,2,ST,-78.274,2021-05-12,44328,132,11:02:07,33.81613,33,48.968,N,-121.84102,-121,50.461,W,080.0,80,80,070.0,70,70,3622,NA,NA,RV BELL M SHIMADA,325S,MX,36,42,1,80.0 70.0,3101,2105,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,7,1015.7,11.5,10.6,NA,NA,NA,NA,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 080.0,33.4833,-122.5333,31,13.726,2,33.181,2,2056.2,2,2219.2,2,35605,894569,20-21055S-MX-132-0525-08000800-0031B-6,31,13.726,24.8348,NA,24.8348,NA,NA,10,6,33,NA,NA,NA,6,9,6,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,31,13.72,311.4,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000800,08000800,20-21055S-MX-132-05:25-08000800,2,ST,-118.844,2021-05-12,44328,132,05:25:29,33.47673,33,28.604,N,-122.54358,-122,32.615,W,080.0,80,80,080.0,80,80.2,3992,NA,NA,RV BELL M SHIMADA,325S,MX,35,41,1,80.0 80.0,3101,2105,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,10,1015.6,12.1,11.2,NA,NA,NA,NA,31.9,30.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 080.0,33.4833,-122.5333,3,14.139,2,33.079,2,2021.3,2,2210.3,2,35605,894565,20-21055S-MX-132-0525-08000800-0003A-3,3,14.139,24.67476,6.056,24.67476,103.39,263.95,12,3,33,6,103,263,3,NA,NA,NA,0.404,NA,0.123,NA,0.36,NA,1.31,NA,0.058,NA,0.23,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,14.14,325.8,0.01,0,263.95,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000800,08000800,20-21055S-MX-132-05:25-08000800,2,ST,-118.844,2021-05-12,44328,132,05:25:29,33.47673,33,28.604,N,-122.54358,-122,32.615,W,080.0,80,80,080.0,80,80.2,3992,NA,NA,RV BELL M SHIMADA,325S,MX,35,41,1,80.0 80.0,3101,2105,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,10,1015.6,12.1,11.2,NA,NA,NA,NA,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,080.0 090.0,33.15,-123.221,3,14.201,2,33.152,2,2023.4,2,2215.8,2,35606,894587,20-21055S-MX-131-2331-08000900-0003A-3,3,14.201,24.7185,6.073,24.7185,103.86,264.68,11,3,33,6,103,264,3,NA,NA,NA,0.538,NA,0.128,NA,0.36,NA,1.34,NA,0.042,NA,0.18,NA,0,4,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,14.2,321.7,0.01,0,264.68,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508000900,08000900,20-21055S-MX-131-23:31-08000900,2,ST,-158.123,2021-05-11,44327,131,23:31:18,33.14918,33,8.951,N,-123.22187,-123,13.312,W,080.0,80,80,090.0,90,90,4217,13,NA,RV BELL M SHIMADA,325S,MX,34,40,1,80.0 90.0,3101,2105,34.5,NA,NA,NA,NA,NA,NA,35,4,7,1,10,1015.3,13.5,12,2,7,8,6,3.9,2.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,081.8 046.9,34.2749,-120.0252,31,11.041,2,34.031,2,2145.2,3,2264,3,35608,894639,20-21055S-MX-133-0419-08180469-0031A-3,31,11.041,26.01501,4.485,26.01501,72.16,195.22,10,3,34,4,72,195,3,6,6,6,0.557,NA,0.721,NA,1.59,NA,22.17,NA,0.268,NA,16.41,NA,0.62,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,31,11.04,199.1,0.065,0.62,195.22,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508180469,08180469,20-21055S-MX-133-04:19-08180469,2,ST,-14.652,2021-05-13,44329,133,04:19:37,34.27558,34,16.535,N,-120.0299,-120,1.794,W,081.8,81.8,81.8,046.9,46.9,46.9,580,NA,NA,RV BELL M SHIMADA,325S,MX,40,46,1,81.8 46.9,3101,2105,86.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,6,1017.7,13.5,12.8,NA,NA,NA,NA,31.9,30.1,TRUE
325S20210504,RV BELL M SHIMADA,2021-05-20,2021,5,20,00:00:00,081.8 046.9,34.2749,-120.0252,3,13.315,2,33.977,3,2097.2,3,2241.8,3,35608,894634,20-21055S-MX-133-0419-08180469-0003A-3,3,13.315,25.53839,6.508,25.53839,109.85,283.41,12,3,33,6,109,283,3,NA,NA,NA,3.903,NA,0.644,NA,1.01,NA,16.32,NA,0.253,NA,7.64,NA,0.3,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,13.31,243.6,0.007,0.3,283.41,NA,NA,NA,NA,NA,NA,NA,2021-05-04-C-325S,202105,20210508180469,08180469,20-21055S-MX-133-04:19-08180469,2,ST,-14.652,2021-05-13,44329,133,04:19:37,34.27558,34,16.535,N,-120.0299,-120,1.794,W,081.8,81.8,81.8,046.9,46.9,46.9,580,NA,NA,RV BELL M SHIMADA,325S,MX,40,46,1,81.8 46.9,3101,2105,86.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,6,1017.7,13.5,12.8,NA,NA,NA,NA,3.9,2.1,TRUE
