Date,Station_ID,Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,TA,DIC,Depth,CTDTEMP_ITS90,Salinity_PSS78
1983-03-19,090.0 062.0,1983,3,19,32.3513,-120.0954,NA,1989.275,10,NA,NA
1983-04-06,090.0 060.0,1983,4,6,32.4179,-119.9593,NA,1990,10,NA,33.281499999999994
1983-04-06,090.0 065.0,1983,4,6,32.2513,-120.2993,NA,1992.35,10,NA,33.3965
1983-06-15,090.0 065.0,1983,6,15,32.2513,-120.2993,NA,1984.25,10,NA,33.2335
1983-08-19,090.0 060.0,1983,8,19,32.4179,-119.9593,NA,1978.95,10,NA,NA
1983-08-19,090.0 065.0,1983,8,19,32.2513,-120.2993,NA,1983.0500000000002,10,NA,NA
1983-09-14,090.0 060.0,1983,9,14,32.4179,-119.9593,NA,1974.925,10,NA,NA
1983-09-14,090.0 065.0,1983,9,14,32.2513,-120.2993,NA,1983.6,10,NA,NA
1983-10-12,090.0 065.0,1983,10,12,32.2513,-120.2993,NA,1974.725,10,NA,NA
1983-10-12,090.0 070.0,1983,10,12,32.0846,-120.6387,NA,1983.9,10,NA,33.5325
1983-11-06,090.0 065.0,1983,11,6,32.2513,-120.2993,NA,1976.5,10,NA,33.488
1983-11-06,090.0 070.0,1983,11,6,32.0846,-120.6387,NA,1972.7,10,19.26,33.531
1983-12-07,090.0 065.0,1983,12,7,32.2513,-120.2993,NA,1981.05,10,NA,33.5515
1983-12-07,090.0 070.0,1983,12,7,32.0846,-120.6387,NA,1982.1,10,NA,33.546
1984-01-07,090.0 070.0,1984,1,7,32.0846,-120.6387,NA,1989.2,11,NA,33.438500000000005
1984-01-09,090.0 100.0,1984,1,9,31.0846,-122.662,2234.6499999999996,1980.65,11,NA,33.338499999999996
1984-01-09,090.0 120.0,1984,1,9,30.4179,-123.9989,2242.95,1984.3000000000002,10,16.96,33.445
1984-01-09,093.3 090.0,1984,1,9,30.8464,-121.5896,2251.3,1987.9,9,NA,33.551
1984-01-09,093.3 100.0,1984,1,9,30.513,-122.2576,2247.95,NA,12,NA,33.433
1984-01-14,096.7 090.0,1984,1,14,30.2575,-121.18,2250.8500000000004,1987.8,10,NA,33.5655
1984-01-14,096.7 100.0,1984,1,14,29.9241,-121.8439,2249.05,1985.95,11,NA,NA
1984-01-14,097.0 090.0,1984,1,14,30.2055,-121.144,2250.8,1987.8,10,17.4,33.565
1984-01-14,097.0 100.0,1984,1,14,29.8722,-121.8076,2251.8,1986,11,17.29,33.549
1984-01-15,097.0 100.0,1984,1,15,29.8722,-121.8076,2258.1,1991.3,13,17.96,33.676
1984-01-15,100.0 090.0,1984,1,15,29.6859,-120.7852,2252.1499999999996,NA,10,NA,33.549
1984-01-15,100.0 100.0,1984,1,15,29.3526,-121.4453,2258.1,1991.3000000000002,13,NA,33.6765
1984-01-19,103.0 090.0,1984,1,19,29.1663,-120.4286,2253.2,NA,10,NA,33.543
1984-01-19,103.0 100.0,1984,1,19,28.8329,-121.0853,2260.9249999999997,NA,10,NA,NA
1984-01-19,106.7 100.0,1984,1,19,28.1921,-120.6443,2271.3777777777777,NA,13,NA,NA
1984-01-19,107.0 100.0,1984,1,19,28.1401,-120.6086,2272,1993.9,13,18.14,33.816
1984-02-20,090.0 100.0,1984,2,20,31.0846,-122.662,NA,NA,10,NA,NA
1984-02-20,090.0 120.0,1984,2,20,30.4179,-123.9989,2254.3,1994.8,10,16.68,33.705
1984-02-21,090.0 070.0,1984,2,21,32.0846,-120.6387,NA,1995.4,12,NA,33.3915
1984-02-21,090.0 090.0,1984,2,21,31.4179,-121.99,2237.1,1985.6,10,NA,33.302
1984-02-26,090.0 120.0,1984,2,26,30.4179,-123.9989,2240.8,1989.3,12,15.55,33.435
1984-02-26,093.3 090.0,1984,2,26,30.8464,-121.5896,2240.8,1989.3,12,NA,33.4345
1984-02-27,090.0 120.0,1984,2,27,30.4179,-123.9989,2249.7,1993.5,12,16.31,33.592
1984-02-27,093.3 100.0,1984,2,27,30.513,-122.2576,2259.62,NA,12,NA,NA
1984-02-27,096.7 090.0,1984,2,27,30.2575,-121.18,2241.54,NA,NA,NA,NA
1984-02-27,096.7 100.0,1984,2,27,29.9241,-121.8439,2259.45,NA,10,NA,NA
1984-02-27,097.0 090.0,1984,2,27,30.2055,-121.144,2238,1992.6,12,16.19,33.573
1984-02-27,097.0 100.0,1984,2,27,29.8722,-121.8076,2252.8,1994.8,10,16.7,33.653
1984-02-28,097.0 100.0,1984,2,28,29.8722,-121.8076,2245.8,1992.8,10,16.55,33.577
1984-02-28,100.0 090.0,1984,2,28,29.6859,-120.7852,NA,1992,10,NA,NA
1984-02-28,100.0 100.0,1984,2,28,29.3526,-121.4453,2253,NA,10,NA,NA
