Year_UTC,Month_UTC,Station_ID,Date.x,Day_UTC.x,Latitude,Longitude,TA,DIC,Depth,CTDTEMP_ITS90,Salinity_PSS78,cruise,ship,ship_code,order_occupied,tow_type,tow_number,net_location,latitude,longitude,line,station,volume_sampled,small_plankton,total_plankton,Date.y,Time,Day_UTC.y
1984,1,090.0 070.0,1984-01-07,7,32.0846,-120.6387,NA,1989.2,11,NA,33.438500000000005,198401,NEW HORIZON,NH,10,CB,1,S,32.076666,-120.645,90,70,409.8,59,59,1984-01-07,14:35:00,7
1984,1,090.0 100.0,1984-01-09,9,31.0846,-122.662,2234.6499999999996,1980.65,11,NA,33.338499999999996,198401,NEW HORIZON,NH,13,CB,1,S,31.083333,-122.65,90,100,400.6,47,47,1984-01-09,02:10:00,9
1984,1,093.3 090.0,1984-01-09,9,30.8464,-121.5896,2251.3,1987.9,9,NA,33.551,198401,NEW HORIZON,NH,15,CB,1,S,30.855,-121.586666,93.3,90,443.9,9,9,1984-01-09,14:15:00,9
1984,1,093.3 100.0,1984-01-09,9,30.513,-122.2576,2247.95,NA,12,NA,33.433,198401,NEW HORIZON,NH,14,CB,1,S,30.508333,-122.281666,93.3,100,420.7,36,36,1984-01-09,07:55:00,9
1984,1,096.7 090.0,1984-01-14,14,30.2575,-121.18,2250.8500000000004,1987.8,10,NA,33.5655,198401,NEW HORIZON,NH,39,CB,1,S,30.271666,-121.171666,96.7,90,427.2,28,28,1984-01-14,17:09:00,14
1984,1,096.7 100.0,1984-01-14,14,29.9241,-121.8439,2249.05,1985.95,11,NA,NA,198401,NEW HORIZON,NH,41,CB,1,S,29.926666,-121.836666,96.7,100,420.3,43,43,1984-01-14,23:28:00,14
1984,1,100.0 090.0,1984-01-15,15,29.6859,-120.7852,2252.1499999999996,NA,10,NA,33.549,198401,NEW HORIZON,NH,43,CB,1,S,29.683333,-120.781666,100,90,414.1,27,27,1984-01-15,11:20:00,15
1984,1,100.0 100.0,1984-01-15,15,29.3526,-121.4453,2258.1,1991.3000000000002,13,NA,33.6765,198401,NEW HORIZON,NH,42,CB,1,S,29.348333,-121.46,100,100,418.7,31,55,1984-01-15,05:20:00,15
1984,1,106.7 100.0,1984-01-19,19,28.1921,-120.6443,2271.3777777777777,NA,13,NA,NA,198401,NEW HORIZON,NH,66,CB,1,S,28.211666,-120.676666,106.7,100,418.2,17,17,1984-01-19,21:16:00,19
1984,2,090.0 070.0,1984-02-21,21,32.0846,-120.6387,NA,1995.4,12,NA,33.3915,198402,NEW HORIZON,NH,51,CB,1,S,32.078333,-120.635,90,70,433.9,124,124,1984-02-21,20:05:00,21
1984,2,090.0 090.0,1984-02-21,21,31.4179,-121.99,2237.1,1985.6,10,NA,33.302,198402,NEW HORIZON,NH,49,CB,1,S,31.415,-121.993333,90,90,428.2,30,30,1984-02-21,06:56:00,21
1984,2,090.0 100.0,1984-02-20,20,31.0846,-122.662,NA,NA,10,NA,NA,198402,NEW HORIZON,NH,48,CB,1,S,31.096666,-122.66,90,100,426.7,19,19,1984-02-21,00:50:00,21
1984,2,093.3 090.0,1984-02-26,26,30.8464,-121.5896,2240.8,1989.3,12,NA,33.4345,198402,NEW HORIZON,NH,55,CB,1,S,30.823333,-121.585,93.3,90,420.7,20.999999999999996,20.999999999999996,1984-02-26,20:35:00,26
1984,2,093.3 100.0,1984-02-27,27,30.513,-122.2576,2259.62,NA,12,NA,NA,198402,NEW HORIZON,NH,56,CB,1,S,30.503333,-122.265,93.3,100,506.8,18.000000000000004,18.000000000000004,1984-02-27,01:55:00,27
1984,2,096.7 090.0,1984-02-27,27,30.2575,-121.18,2241.54,NA,NA,NA,NA,198402,NEW HORIZON,NH,58,CB,1,S,30.255,-121.188333,96.7,90,518.1,26.999999999999996,26.999999999999996,1984-02-27,14:30:00,27
1984,2,096.7 100.0,1984-02-27,27,29.9241,-121.8439,2259.45,NA,10,NA,NA,198402,NEW HORIZON,NH,57,CB,1,S,29.931666,-121.841666,96.7,100,434.6,43.99999999999999,43.99999999999999,1984-02-27,07:55:00,27
1984,2,100.0 090.0,1984-02-28,28,29.6859,-120.7852,NA,1992,10,NA,NA,198402,NEW HORIZON,NH,63,CB,1,S,29.68,-120.796666,100,90,440.7,16,16,1984-02-28,20:18:00,28
1984,2,100.0 100.0,1984-02-28,28,29.3526,-121.4453,2253,NA,10,NA,NA,198402,NEW HORIZON,NH,64,CB,1,S,29.356666,-121.443333,100,100,514.8,14.000000000000002,14.000000000000002,1984-02-29,01:45:00,29
1984,3,106.7 100.0,1984-03-02,2,28.1921,-120.6443,NA,1992.5,11,NA,NA,198402,NEW HORIZON,NH,75,CB,1,S,28.183333,-120.631666,106.7,100,410.2,20,20,1984-03-02,10:55:00,2
1984,4,090.0 070.0,1984-04-12,12,32.0846,-120.6387,NA,2000.45,11,NA,33.504999999999995,198404,NEW HORIZON,NH,8,CB,1,S,32.076666,-120.643333,90,70,525.5,211,211,1984-04-12,20:15:00,12
1984,4,090.0 100.0,1984-04-13,13,31.0846,-122.662,NA,1990.7,11,15.73,NA,198404,NEW HORIZON,NH,11,CB,1,S,31.076666,-122.656666,90,100,437.6,36.99999999999999,36.99999999999999,1984-04-13,16:35:00,13
1984,4,093.3 090.0,1984-04-14,14,30.8464,-121.5896,NA,1988.4,11,NA,NA,198404,NEW HORIZON,NH,14,CB,1,S,30.846666,-121.591666,93.3,90,430.4,44,44,1984-04-14,05:10:00,14
1984,4,093.3 100.0,1984-04-13,13,30.513,-122.2576,NA,1992.3000000000002,11,NA,NA,198404,NEW HORIZON,NH,13,CB,1,S,30.506666,-122.255,93.3,100,491.6,22,22,1984-04-13,22:50:00,13
1984,4,096.7 090.0,1984-04-19,19,30.2575,-121.18,NA,1989,10,NA,NA,198404,NEW HORIZON,NH,38,CB,1,S,30.256666,-121.18,96.7,90,413.1,17,17,1984-04-19,14:40:00,19
1984,4,096.7 100.0,1984-04-19,19,29.9241,-121.8439,NA,1994.05,11,NA,NA,198404,NEW HORIZON,NH,39,CB,1,S,29.933333,-121.838333,96.7,100,437.2,23,23,1984-04-19,20:55:00,19
1984,4,100.0 090.0,1984-04-20,20,29.6859,-120.7852,NA,1992.15,10,NA,NA,198404,NEW HORIZON,NH,41,CB,1,S,29.683333,-120.806666,100,90,469.2,36,36,1984-04-20,09:40:00,20
1984,4,100.0 100.0,1984-04-20,20,29.3526,-121.4453,NA,NA,11,15.93,NA,198404,NEW HORIZON,NH,40,CB,1,S,29.355,-121.45,100,100,437.7,23,23,1984-04-20,03:10:00,20
1984,4,106.7 100.0,1984-04-25,25,28.1921,-120.6443,NA,1994.4,10,NA,NA,198404,NEW HORIZON,NH,65,CB,1,S,28.193333,-120.64,106.7,100,494.1,22,22,1984-04-25,13:40:00,25
