EXPOCODE,Ship_Name,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Station_ID,Latitude,Longitude,Depth,CTDTEMP_ITS90,CTDTEMP_flag,Salinity_PSS78,Salinity_flag,DIC,DIC_flag,TA,TA_flag
,,,,,,,decimal degrees,decimal degres,m,deg_C,,,,umol/kg,,umol/kg,
31EB19830318,ELLEN B. SCRIPPS,1983,3,19,00:00:00,090.0 062.0,32.3513,-120.0954,10.0,15.360,2,NaN,2,1989.4,2,NaN,2
31EB19830318,ELLEN B. SCRIPPS,1983,3,19,00:00:00,090.0 062.0,32.3513,-120.0954,10.0,NaN,2,NaN,2,1989.8,2,NaN,2
31EB19830318,ELLEN B. SCRIPPS,1983,3,19,00:00:00,090.0 062.0,32.3513,-120.0954,10.0,NaN,2,NaN,2,1989.3,2,NaN,2
31EB19830318,ELLEN B. SCRIPPS,1983,3,19,00:00:00,090.0 062.0,32.3513,-120.0954,10.0,NaN,2,NaN,2,1988.6,2,NaN,2
32WC19830406,WESTWIND,1983,4,6,00:00:00,090.0 060.0,32.4179,-119.9593,10.0,15.060,2,33.282,2,1991.5,2,NaN,2
32WC19830406,WESTWIND,1983,4,6,00:00:00,090.0 060.0,32.4179,-119.9593,10.0,NaN,2,33.281,2,1988.5,2,NaN,2
32WC19830406,WESTWIND,1983,4,6,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,15.230,2,33.395,2,1992.9,2,NaN,2
32WC19830406,WESTWIND,1983,4,6,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,NaN,2,33.398,2,1991.8,2,NaN,2
31EB19830614,ELLEN B. SCRIPPS,1983,6,15,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,NaN,2,33.232,2,1984.7,2,NaN,2
31EB19830614,ELLEN B. SCRIPPS,1983,6,15,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,NaN,2,33.235,2,1983.8,2,NaN,2
31EB19830817,ELLEN B. SCRIPPS,1983,8,19,00:00:00,090.0 060.0,32.4179,-119.9593,10.0,19.680,2,33.419,2,1978.9,2,NaN,2
31EB19830817,ELLEN B. SCRIPPS,1983,8,19,00:00:00,090.0 060.0,32.4179,-119.9593,10.0,NaN,2,NaN,2,1979.0,2,NaN,2
31EB19830817,ELLEN B. SCRIPPS,1983,8,19,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,19.330,2,33.455,2,1983.2,2,NaN,2
31EB19830817,ELLEN B. SCRIPPS,1983,8,19,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,NaN,2,NaN,2,1982.9,2,NaN,2
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,00:00:00,090.0 060.0,32.4179,-119.9593,10.0,20.960,2,33.467,2,1974.6,2,NaN,2
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,00:00:00,090.0 060.0,32.4179,-119.9593,10.0,NaN,2,NaN,2,1974.5,2,NaN,2
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,00:00:00,090.0 060.0,32.4179,-119.9593,10.0,NaN,2,33.466,2,1975.9,2,NaN,2
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,00:00:00,090.0 060.0,32.4179,-119.9593,10.0,NaN,2,NaN,2,1974.7,2,NaN,2
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,20.720,2,33.497,2,1983.6,2,NaN,2
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,NaN,2,NaN,2,1983.6,2,NaN,2
31EB19831010,ELLEN B. SCRIPPS,1983,10,12,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,20.290,2,33.539,2,1975.7,2,NaN,2
31EB19831010,ELLEN B. SCRIPPS,1983,10,12,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,NaN,2,NaN,2,1975.7,2,NaN,2
31EB19831010,ELLEN B. SCRIPPS,1983,10,12,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,NaN,2,33.538,2,1973.9,2,NaN,2
31EB19831010,ELLEN B. SCRIPPS,1983,10,12,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,NaN,2,NaN,2,1973.6,2,NaN,2
31EB19831010,ELLEN B. SCRIPPS,1983,10,12,00:00:00,090.0 070.0,32.0846,-120.6387,10.0,20.160,2,33.534,2,1985.2,2,NaN,2
31EB19831010,ELLEN B. SCRIPPS,1983,10,12,00:00:00,090.0 070.0,32.0846,-120.6387,10.0,NaN,2,33.531,2,1982.6,2,NaN,2
31EB19831105,ELLEN B. SCRIPPS,1983,11,6,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,19.260,2,33.488,2,1975.7,2,NaN,2
31EB19831105,ELLEN B. SCRIPPS,1983,11,6,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,NaN,2,33.488,2,1977.3,2,NaN,2
31EB19831105,ELLEN B. SCRIPPS,1983,11,6,00:00:00,090.0 070.0,32.0846,-120.6387,10.0,19.260,2,33.531,2,1972.7,2,NaN,2
32NM19831206,RV NEW HORIZON,1983,12,7,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,17.340,2,33.553,2,1981.1,2,NaN,2
32NM19831206,RV NEW HORIZON,1983,12,7,00:00:00,090.0 065.0,32.2513,-120.2993,10.0,NaN,2,33.550,2,1981.0,2,NaN,2
32NM19831206,RV NEW HORIZON,1983,12,7,00:00:00,090.0 070.0,32.0846,-120.6387,10.0,17.220,2,33.546,2,1981.8,2,NaN,2
32NM19831206,RV NEW HORIZON,1983,12,7,00:00:00,090.0 070.0,32.0846,-120.6387,10.0,NaN,2,33.546,2,1982.4,2,NaN,2
32NM19840104,RV NEW HORIZON,1984,1,7,00:00:00,090.0 070.0,32.0846,-120.6387,11.0,15.710,2,33.439,2,1991.2,2,NaN,2
32NM19840104,RV NEW HORIZON,1984,1,7,00:00:00,090.0 070.0,32.0846,-120.6387,11.0,NaN,2,33.438,2,1987.2,2,NaN,2
32NM19840104,RV NEW HORIZON,1984,1,9,00:00:00,090.0 100.0,31.0846,-122.6620,11.0,16.570,2,33.338,2,1980.7,2,2233.7,2
32NM19840104,RV NEW HORIZON,1984,1,9,00:00:00,090.0 100.0,31.0846,-122.6620,11.0,NaN,2,33.339,2,1980.6,2,2235.6,2
32NM19840104,RV NEW HORIZON,1984,1,9,00:00:00,093.3 100.0,30.5130,-122.2576,12.0,16.930,2,33.430,2,NaN,2,2241.9,2
32NM19840104,RV NEW HORIZON,1984,1,9,00:00:00,093.3 100.0,30.5130,-122.2576,12.0,NaN,2,33.436,2,NaN,2,2254.0,2
32NM19840104,RV NEW HORIZON,1984,1,9,00:00:00,093.3 090.0,30.8464,-121.5896,9.0,17.350,2,33.545,2,1988.4,2,2251.7,2
32NM19840104,RV NEW HORIZON,1984,1,9,00:00:00,093.3 090.0,30.8464,-121.5896,9.0,NaN,2,33.557,2,1987.4,2,2250.9,2
32NM19840104,RV NEW HORIZON,1984,1,9,22:46:01,090.0 120.0,30.4179,-123.9989,9.0,17.350,2,33.551,2,1987.9,2,2251.3,2
32NM19840104,RV NEW HORIZON,1984,1,9,22:46:01,090.0 120.0,30.4179,-123.9989,11.0,16.570,2,33.339,2,1980.7,2,2234.6,2
32NM19840104,RV NEW HORIZON,1984,1,14,00:00:00,096.7 100.0,29.9241,-121.8439,11.0,17.290,2,33.545,2,1986.2,2,2251.8,2
32NM19840104,RV NEW HORIZON,1984,1,14,00:00:00,096.7 100.0,29.9241,-121.8439,11.0,NaN,2,NaN,2,1985.7,2,2246.3,2
32NM19840104,RV NEW HORIZON,1984,1,14,00:00:00,096.7 090.0,30.2575,-121.1800,10.0,17.400,2,33.565,2,1989.1,2,2252.3,2
32NM19840104,RV NEW HORIZON,1984,1,14,00:00:00,096.7 090.0,30.2575,-121.1800,10.0,NaN,2,33.566,2,1986.5,2,2249.4,2
32NM19840104,RV NEW HORIZON,1984,1,14,22:51:40,097.0 090.0,30.2055,-121.1440,10.0,17.400,2,33.565,2,1987.8,2,2250.8,2
32NM19840104,RV NEW HORIZON,1984,1,14,22:51:40,097.0 100.0,29.8722,-121.8076,11.0,17.290,2,33.549,2,1986.0,2,2251.8,2
32NM19840104,RV NEW HORIZON,1984,1,15,00:00:00,100.0 100.0,29.3526,-121.4453,13.0,17.960,2,33.675,2,1992.4,2,2257.2,2
32NM19840104,RV NEW HORIZON,1984,1,15,00:00:00,100.0 100.0,29.3526,-121.4453,13.0,NaN,2,33.678,2,1990.2,2,2259.0,2
32NM19840104,RV NEW HORIZON,1984,1,15,00:00:00,100.0 090.0,29.6859,-120.7852,10.0,17.220,2,33.548,2,NaN,2,2252.1,2
32NM19840104,RV NEW HORIZON,1984,1,15,00:00:00,100.0 090.0,29.6859,-120.7852,10.0,NaN,2,33.550,2,NaN,2,2252.2,2
32NM19840104,RV NEW HORIZON,1984,1,15,23:24:22,097.0 100.0,29.8722,-121.8076,13.0,17.960,2,33.676,2,1991.3,2,2258.1,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,103.0 100.0,28.8329,-121.0853,10.0,17.700,2,NaN,2,NaN,2,2263.4,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,103.0 100.0,28.8329,-121.0853,10.0,NaN,2,NaN,2,NaN,2,2264.2,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,103.0 100.0,28.8329,-121.0853,10.0,NaN,2,NaN,2,NaN,2,2263.0,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,103.0 100.0,28.8329,-121.0853,10.0,NaN,2,NaN,2,NaN,2,2261.2,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,103.0 100.0,28.8329,-121.0853,10.0,NaN,2,NaN,2,NaN,2,2257.7,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,103.0 100.0,28.8329,-121.0853,10.0,NaN,2,NaN,2,NaN,2,2260.7,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,103.0 100.0,28.8329,-121.0853,10.0,NaN,2,NaN,2,NaN,2,2258.0,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,103.0 100.0,28.8329,-121.0853,10.0,NaN,2,NaN,2,NaN,2,2259.2,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,103.0 090.0,29.1663,-120.4286,10.0,17.120,2,33.544,2,NaN,2,2253.1,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,103.0 090.0,29.1663,-120.4286,10.0,NaN,2,33.542,2,NaN,2,2253.3,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,106.7 100.0,28.1921,-120.6443,13.0,18.140,2,NaN,2,NaN,2,2272.4,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,106.7 100.0,28.1921,-120.6443,13.0,NaN,2,NaN,2,NaN,2,2272.7,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,106.7 100.0,28.1921,-120.6443,13.0,NaN,2,NaN,2,NaN,2,2274.1,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,106.7 100.0,28.1921,-120.6443,13.0,NaN,2,NaN,2,NaN,2,2269.7,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,106.7 100.0,28.1921,-120.6443,13.0,NaN,2,NaN,2,NaN,2,2271.2,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,106.7 100.0,28.1921,-120.6443,13.0,18.140,2,33.816,2,1993.9,2,2264.9,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,106.7 100.0,28.1921,-120.6443,13.0,NaN,2,NaN,2,NaN,2,2270.9,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,106.7 100.0,28.1921,-120.6443,13.0,NaN,2,NaN,2,NaN,2,2269.7,2
32NM19840104,RV NEW HORIZON,1984,1,19,00:00:00,106.7 100.0,28.1921,-120.6443,13.0,NaN,2,NaN,2,NaN,2,2276.8,2
32NM19840104,RV NEW HORIZON,1984,1,19,22:57:19,107.0 100.0,28.1401,-120.6086,13.0,18.140,2,33.816,2,1993.9,3,2272.0,3
32NM19840208,RV NEW HORIZON,1984,2,20,00:00:00,090.0 100.0,31.0846,-122.6620,10.0,16.680,2,33.703,2,1994.5,2,2251.6,2
32NM19840208,RV NEW HORIZON,1984,2,20,00:00:00,090.0 100.0,31.0846,-122.6620,10.0,NaN,2,NaN,2,NaN,2,NaN,2
32NM19840208,RV NEW HORIZON,1984,2,20,00:00:00,090.0 100.0,31.0846,-122.6620,10.0,NaN,2,33.707,2,1995.0,2,2256.0,2
32NM19840208,RV NEW HORIZON,1984,2,20,00:00:00,090.0 100.0,31.0846,-122.6620,10.0,NaN,2,NaN,2,1995.2,2,2252.7,2
32NM19840208,RV NEW HORIZON,1984,2,20,21:58:49,090.0 120.0,30.4179,-123.9989,10.0,16.680,2,33.705,2,1994.8,2,2254.3,2
32NM19840208,RV NEW HORIZON,1984,2,21,00:00:00,090.0 070.0,32.0846,-120.6387,12.0,14.210,2,33.392,2,1996.2,2,NaN,2
32NM19840208,RV NEW HORIZON,1984,2,21,00:00:00,090.0 070.0,32.0846,-120.6387,12.0,NaN,2,33.391,2,1994.6,2,NaN,2
32NM19840208,RV NEW HORIZON,1984,2,21,00:00:00,090.0 090.0,31.4179,-121.9900,10.0,15.250,2,33.304,2,1985.9,2,2238.2,2
32NM19840208,RV NEW HORIZON,1984,2,21,00:00:00,090.0 090.0,31.4179,-121.9900,10.0,NaN,2,33.300,2,1985.3,2,2236.0,2
32NM19840208,RV NEW HORIZON,1984,2,21,21:38:55,090.0 090.0,31.4179,-121.9900,10.0,15.250,2,33.302,2,1985.6,2,2237.1,2
32NM19840208,RV NEW HORIZON,1984,2,26,00:00:00,093.3 090.0,30.8464,-121.5896,12.0,15.550,2,33.435,2,1989.5,2,2241.7,2
32NM19840208,RV NEW HORIZON,1984,2,26,00:00:00,093.3 090.0,30.8464,-121.5896,12.0,NaN,2,33.434,2,1989.1,2,2239.9,2
32NM19840208,RV NEW HORIZON,1984,2,26,21:44:34,090.0 120.0,30.4179,-123.9989,12.0,15.550,2,33.435,2,1989.3,2,2240.8,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,093.3 100.0,30.5130,-122.2576,12.0,16.310,2,33.593,2,1993.7,4,2306.1,3
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,093.3 100.0,30.5130,-122.2576,12.0,NaN,2,NaN,2,NaN,2,2245.8,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,093.3 100.0,30.5130,-122.2576,12.0,NaN,2,NaN,2,NaN,2,2246.9,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,093.3 100.0,30.5130,-122.2576,12.0,NaN,2,33.591,2,1993.3,2,2250.3,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,093.3 100.0,30.5130,-122.2576,12.0,NaN,2,NaN,2,NaN,2,2249.0,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,096.7 100.0,29.9241,-121.8439,10.0,16.700,2,33.653,2,1996.1,2,2252.8,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,096.7 100.0,29.9241,-121.8439,10.0,NaN,2,33.653,2,1993.5,4,2289.7,3
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,096.7 100.0,29.9241,-121.8439,10.0,NaN,2,NaN,2,NaN,2,2249.5,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,096.7 100.0,29.9241,-121.8439,10.0,NaN,2,NaN,2,NaN,2,2245.8,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,096.7 090.0,30.2575,-121.1800,NaN,NaN,2,33.577,2,NaN,2,2244.3,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,096.7 090.0,30.2575,-121.1800,NaN,NaN,2,NaN,2,NaN,2,2249.4,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,096.7 090.0,30.2575,-121.1800,12.0,16.190,2,33.573,2,1992.6,2,2240.3,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,096.7 090.0,30.2575,-121.1800,12.0,NaN,2,NaN,2,NaN,2,2237.0,2
32NM19840208,RV NEW HORIZON,1984,2,27,00:00:00,096.7 090.0,30.2575,-121.1800,12.0,NaN,2,NaN,2,NaN,2,2236.7,2
32NM19840208,RV NEW HORIZON,1984,2,27,20:32:04,097.0 090.0,30.2055,-121.1440,12.0,16.190,2,33.573,2,1992.6,2,2238.0,2
32NM19840208,RV NEW HORIZON,1984,2,27,20:32:04,097.0 100.0,29.8722,-121.8076,10.0,16.700,2,33.653,2,1994.8,2,2252.8,2
32NM19840208,RV NEW HORIZON,1984,2,27,20:32:04,090.0 120.0,30.4179,-123.9989,12.0,16.310,2,33.592,2,1993.5,2,2249.7,2
32NM19840208,RV NEW HORIZON,1984,2,28,00:00:00,100.0 100.0,29.3526,-121.4453,10.0,16.550,2,33.578,2,1993.2,2,2245.8,2
32NM19840208,RV NEW HORIZON,1984,2,28,00:00:00,100.0 100.0,29.3526,-121.4453,10.0,NaN,2,NaN,2,NaN,2,2264.6,2
32NM19840208,RV NEW HORIZON,1984,2,28,00:00:00,100.0 100.0,29.3526,-121.4453,10.0,NaN,2,33.576,2,1992.5,2,2248.6,2
32NM19840208,RV NEW HORIZON,1984,2,28,00:00:00,100.0 090.0,29.6859,-120.7852,10.0,16.210,2,NaN,2,1992.2,2,NaN,2
32NM19840208,RV NEW HORIZON,1984,2,28,00:00:00,100.0 090.0,29.6859,-120.7852,10.0,NaN,2,NaN,2,1991.8,2,NaN,2
32NM19840208,RV NEW HORIZON,1984,2,28,00:00:00,103.0 100.0,28.8329,-121.0853,10.0,16.340,2,33.539,2,1992.1,2,2246.7,2
32NM19840208,RV NEW HORIZON,1984,2,28,21:57:21,103.0 100.0,28.8329,-121.0853,10.0,16.340,2,33.539,2,1992.1,2,2246.7,2
32NM19840208,RV NEW HORIZON,1984,2,28,21:57:21,097.0 100.0,29.8722,-121.8076,10.0,16.550,2,33.577,2,1992.8,2,2245.8,2
32NM19840208,RV NEW HORIZON,1984,2,29,00:00:00,103.0 100.0,28.8329,-121.0853,12.0,16.350,2,33.539,2,1992.2,2,2246.0,2
32NM19840208,RV NEW HORIZON,1984,2,29,00:00:00,103.0 090.0,29.1663,-120.4286,13.0,16.500,2,NaN,2,1990.6,2,NaN,2
32NM19840208,RV NEW HORIZON,1984,2,29,00:00:00,103.0 090.0,29.1663,-120.4286,13.0,NaN,2,NaN,2,1990.0,2,NaN,2
32NM19840208,RV NEW HORIZON,1984,3,2,00:00:00,106.7 100.0,28.1921,-120.6443,11.0,16.810,2,NaN,2,1993.0,2,NaN,2
32NM19840208,RV NEW HORIZON,1984,3,2,00:00:00,106.7 100.0,28.1921,-120.6443,11.0,NaN,2,NaN,2,1992.0,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,12,00:00:00,090.0 070.0,32.0846,-120.6387,11.0,14.560,2,33.506,2,2001.0,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,12,00:00:00,090.0 070.0,32.0846,-120.6387,11.0,NaN,2,33.504,2,1999.9,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,13,00:00:00,090.0 100.0,31.0846,-122.6620,11.0,15.730,2,NaN,2,1990.7,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,13,00:00:00,090.0 090.0,31.4179,-121.9900,11.0,14.150,2,33.264,2,1993.9,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,13,00:00:00,090.0 090.0,31.4179,-121.9900,11.0,NaN,2,33.264,2,1993.4,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,13,00:00:00,093.3 100.0,30.5130,-122.2576,11.0,15.940,2,NaN,2,1993.2,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,13,00:00:00,093.3 100.0,30.5130,-122.2576,11.0,NaN,2,NaN,2,1991.4,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,14,00:00:00,093.3 090.0,30.8464,-121.5896,11.0,14.770,2,NaN,2,1988.1,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,14,00:00:00,093.3 090.0,30.8464,-121.5896,11.0,NaN,2,NaN,2,1988.7,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,19,00:00:00,096.7 100.0,29.9241,-121.8439,11.0,16.570,2,33.596,2,1993.3,2,2240.8,2
32NM19840409,RV NEW HORIZON,1984,4,19,00:00:00,096.7 100.0,29.9241,-121.8439,11.0,NaN,2,NaN,2,1994.8,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,19,00:00:00,096.7 090.0,30.2575,-121.1800,10.0,15.700,2,NaN,2,1989.0,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,19,00:00:00,096.7 090.0,30.2575,-121.1800,10.0,NaN,2,33.392,2,1989.0,2,2231.4,2
32NM19840409,RV NEW HORIZON,1984,4,19,18:10:59,097.0 090.0,30.2055,-121.1440,10.0,15.700,2,33.392,2,1989.0,2,2231.4,2
32NM19840409,RV NEW HORIZON,1984,4,19,18:10:59,097.0 100.0,29.8722,-121.8076,11.0,16.570,2,33.596,2,1994.0,2,2240.8,2
32NM19840409,RV NEW HORIZON,1984,4,20,00:00:00,100.0 100.0,29.3526,-121.4453,11.0,15.930,2,NaN,2,1989.9,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,20,00:00:00,100.0 100.0,29.3526,-121.4453,11.0,15.930,2,33.388,2,NaN,2,2229.2,2
32NM19840409,RV NEW HORIZON,1984,4,20,00:00:00,100.0 090.0,29.6859,-120.7852,10.0,16.280,2,NaN,2,1993.4,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,20,00:00:00,100.0 090.0,29.6859,-120.7852,10.0,NaN,2,NaN,2,1990.9,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,20,17:51:04,097.0 100.0,29.8722,-121.8076,11.0,15.930,2,33.388,2,1989.9,2,2229.2,2
32NM19840409,RV NEW HORIZON,1984,4,25,00:00:00,103.0 100.0,28.8329,-121.0853,10.0,16.700,2,33.579,2,1994.4,2,2241.0,2
32NM19840409,RV NEW HORIZON,1984,4,25,00:00:00,103.0 100.0,28.8329,-121.0853,10.0,NaN,2,NaN,2,1992.2,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,25,00:00:00,103.0 090.0,29.1663,-120.4286,10.0,16.680,2,NaN,2,1995.3,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,25,00:00:00,103.0 090.0,29.1663,-120.4286,10.0,NaN,2,33.564,2,1993.2,2,2239.1,2
32NM19840409,RV NEW HORIZON,1984,4,25,00:00:00,106.7 100.0,28.1921,-120.6443,10.0,17.190,2,NaN,2,1993.9,2,NaN,2
32NM19840409,RV NEW HORIZON,1984,4,25,00:00:00,106.7 100.0,28.1921,-120.6443,10.0,NaN,2,33.671,2,1994.9,2,2245.7,2
32NM19840409,RV NEW HORIZON,1984,4,25,17:56:43,107.0 100.0,28.1401,-120.6086,10.0,17.190,2,33.669,2,1994.4,2,2245.7,2
32NM19840409,RV NEW HORIZON,1984,4,25,17:56:43,103.0 100.0,28.8329,-121.0853,10.0,16.700,2,33.577,2,1993.3,2,2241.0,2
32NM19840409,RV NEW HORIZON,1984,4,25,17:56:43,103.0 090.0,29.1663,-120.4286,10.0,16.680,2,33.562,2,1994.3,2,2239.1,2
32NM19840603,RV NEW HORIZON,1984,6,8,00:00:00,106.7 100.0,28.1921,-120.6443,11.0,17.460,2,33.592,2,1993.6,2,2240.4,2
32NM19840603,RV NEW HORIZON,1984,6,8,00:00:00,106.7 100.0,28.1921,-120.6443,11.0,NaN,2,33.592,2,1992.4,2,2239.5,2
32NM19840603,RV NEW HORIZON,1984,6,8,15:37:07,107.0 100.0,28.1401,-120.6086,11.0,17.460,2,33.592,2,1993.0,2,2239.9,2
32NM19840603,RV NEW HORIZON,1984,6,12,00:00:00,100.0 100.0,29.3526,-121.4453,11.0,16.570,2,33.339,2,1987.3,2,2228.3,2
32NM19840603,RV NEW HORIZON,1984,6,12,00:00:00,100.0 100.0,29.3526,-121.4453,11.0,NaN,2,33.340,2,1988.6,2,2229.2,2
32NM19840603,RV NEW HORIZON,1984,6,12,00:00:00,103.0 100.0,28.8329,-121.0853,11.0,17.150,2,33.509,2,1988.8,2,2241.6,2
32NM19840603,RV NEW HORIZON,1984,6,12,00:00:00,103.0 100.0,28.8329,-121.0853,11.0,NaN,2,33.509,2,1990.2,2,2238.9,2
32NM19840603,RV NEW HORIZON,1984,6,12,00:00:00,103.0 090.0,29.1663,-120.4286,11.0,17.640,2,33.604,2,1992.3,2,2240.0,2
